x,rho,rhou,rhoE,u,p
0.039504,1.04913,0.31474,2.60863,0.3,1.02457
0.039604,1.04926,0.314777,2.60879,0.3,1.02463
0.039704,1.04938,0.314813,2.60894,0.3,1.02469
0.039804,1.0495,0.31485,2.6091,0.3,1.02475
0.039904,1.04962,0.314886,2.60926,0.3,1.02481
0.040004,1.04974,0.314923,2.60942,0.3,1.02487
0.040104,1.04986,0.314959,2.60957,0.3,1.02493
0.040204,1.04999,0.314996,2.60973,0.3,1.02499
0.040304,1.05011,0.315032,2.60989,0.3,1.02505
0.040404,1.05023,0.315069,2.61005,0.3,1.02511
0.0405041,1.05035,0.315105,2.6102,0.3,1.02518
0.0406041,1.05047,0.315142,2.61036,0.3,1.02524
0.0407041,1.05059,0.315178,2.61052,0.3,1.0253
0.0408041,1.05072,0.315215,2.61068,0.3,1.02536
0.0409041,1.05084,0.315251,2.61083,0.3,1.02542
0.0410041,1.05096,0.315288,2.61099,0.3,1.02548
0.0411041,1.05108,0.315324,2.61115,0.3,1.02554
0.0412041,1.0512,0.315361,2.61131,0.3,1.0256
0.0413041,1.05132,0.315397,2.61146,0.3,1.02566
0.0414041,1.05145,0.315434,2.61162,0.3,1.02572
0.0415042,1.05157,0.31547,2.61178,0.3,1.02578
0.0416042,1.05169,0.315506,2.61194,0.3,1.02584
0.0417042,1.05181,0.315543,2.61209,0.3,1.0259
0.0418042,1.05193,0.315579,2.61225,0.3,1.02597
0.0419042,1.05205,0.315616,2.61241,0.3,1.02603
0.0420042,1.05217,0.315652,2.61256,0.3,1.02609
0.0421042,1.05229,0.315688,2.61272,0.3,1.02615
0.0422042,1.05242,0.315725,2.61288,0.3,1.02621
0.0423042,1.05254,0.315761,2.61304,0.3,1.02627
0.0424042,1.05266,0.315798,2.61319,0.3,1.02633
0.0425043,1.05278,0.315834,2.61335,0.3,1.02639
0.0426043,1.0529,0.31587,2.61351,0.3,1.02645
0.0427043,1.05302,0.315907,2.61366,0.3,1.02651
0.0428043,1.05314,0.315943,2.61382,0.3,1.02657
0.0429043,1.05326,0.315979,2.61398,0.3,1.02663
0.0430043,1.05339,0.316016,2.61413,0.3,1.02669
0.0431043,1.05351,0.316052,2.61429,0.3,1.02675
0.0432043,1.05363,0.316088,2.61445,0.3,1.02681
0.0433043,1.05375,0.316125,2.6146,0.3,1.02687
0.0434043,1.05387,0.316161,2.61476,0.3,1.02693
0.0435044,1.05399,0.316197,2.61492,0.3,1.027
0.0436044,1.05411,0.316234,2.61507,0.3,1.02706
0.0437044,1.05423,0.31627,2.61523,0.3,1.02712
0.0438044,1.05435,0.316306,2.61539,0.3,1.02718
0.0439044,1.05447,0.316342,2.61554,0.3,1.02724
0.0440044,1.0546,0.316379,2.6157,0.3,1.0273
0.0441044,1.05472,0.316415,2.61586,0.3,1.02736
0.0442044,1.05484,0.316451,2.61601,0.3,1.02742
0.0443044,1.05496,0.316487,2.61617,0.3,1.02748
0.0444044,1.05508,0.316524,2.61633,0.3,1.02754
0.0445045,1.0552,0.31656,2.61648,0.3,1.0276
0.0446045,1.05532,0.316596,2.61664,0.3,1.02766
0.0447045,1.05544,0.316632,2.6168,0.3,1.02772
0.0448045,1.05556,0.316669,2.61695,0.3,1.02778
0.0449045,1.05568,0.316705,2.61711,0.3,1.02784
0.0450045,1.0558,0.316741,2.61727,0.3,1.0279
0.0451045,1.05592,0.316777,2.61742,0.3,1.02796
0.0452045,1.05604,0.316813,2.61758,0.3,1.02802
0.0453045,1.05617,0.31685,2.61773,0.3,1.02808
0.0454045,1.05629,0.316886,2.61789,0.3,1.02814
0.0455046,1.05641,0.316922,2.61805,0.3,1.0282
0.0456046,1.05653,0.316958,2.6182,0.3,1.02826
0.0457046,1.05665,0.316994,2.61836,0.3,1.02832
0.0458046,1.05677,0.317031,2.61852,0.3,1.02838
0.0459046,1.05689,0.317067,2.61867,0.3,1.02844
0.0460046,1.05701,0.317103,2.61883,0.3,1.0285
0.0461046,1.05713,0.317139,2.61898,0.3,1.02856
0.0462046,1.05725,0.317175,2.61914,0.3,1.02863
0.0463046,1.05737,0.317211,2.6193,0.3,1.02869
0.0464046,1.05749,0.317247,2.61945,0.3,1.02875
